problem_id,n,m,seed,greedy_objective,greedy_time,greedy_feasible,greedy_z_count,greedy_x_total,milp_objective,milp_time,milp_feasible,milp_z_count,milp_x_total,brute_force_objective,brute_force_time,brute_force_feasible,brute_force_z_count,brute_force_x_total,genetic_objective,genetic_time,genetic_feasible,genetic_z_count,genetic_x_total
P3_S8,20,10,207,2128.972773348494,0.0046465396881103516,True,10,786,2558.972773348494,0.020463228225708008,True,10,872,2558.972773348494,15.268866062164307,True,10,872,2558.972773348494,23.286301136016846,True,10,872
P3_S9,20,10,208,3130.818488623956,0.0046422481536865234,True,8,981,3300.086195512511,0.17058444023132324,True,9,1061,3300.0861955125097,15.028162479400635,True,9,1090,3300.0861955125097,19.574804544448853,True,9,1090
P4_S1,25,12,300,3318.825416641306,0.007645606994628906,True,11,1192,3663.8254166413053,0.03141212463378906,True,11,1261,3588.1354391820933,60.0086305141449,True,10,1233,3663.825416641306,41.60026574134827,True,11,1262
P4_S10,25,12,309,3861.3175197321693,0.007573127746582031,True,11,1394,4331.660114597018,0.2002110481262207,True,10,1460,4282.886567520459,60.01327204704285,True,10,1460,4331.660114597019,41.15096426010132,True,10,1460
P4_S2,25,12,301,3470.723461593494,0.007715940475463867,True,11,1205,4381.309574895423,0.025866985321044922,True,12,1484,4186.074523630499,60.00142812728882,True,11,1400,4381.309574895422,33.51502799987793,True,12,1484
P4_S3,25,12,302,3703.7054021280615,0.007447957992553711,True,12,1436,5048.70540212806,0.04476642608642578,True,12,1705,4684.927599405863,60.017223596572876,True,11,1606,5048.705402128062,35.44889259338379,True,12,1720
P4_S4,25,12,303,3385.7633906390047,0.008813858032226562,True,12,1155,3385.7633906390042,0.02510547637939453,True,12,1155,3144.0641402591828,60.00526022911072,True,11,1076,3385.7633906390047,29.4118549823761,True,12,1155
P4_S5,25,12,304,3697.8155950941,0.006896018981933594,True,10,1236,3813.620589561091,0.23342227935791016,True,10,1316,3813.620589561093,60.00583052635193,True,10,1355,3767.7236852967735,26.15838885307312,True,10,1331
P4_S6,25,12,305,3441.2257019787176,0.007581233978271484,True,10,1172,3908.0370050848824,0.02824687957763672,True,11,1334,3607.142173220591,60.01890778541565,True,11,1228,3908.0370050848833,30.686086416244507,True,11,1334
P4_S7,25,12,306,3535.4015094232827,0.00713038444519043,True,10,1167,3832.266694288911,0.17441558837890625,True,10,1272,3794.8954011724304,60.00764727592468,True,11,1238,3808.6429551654787,24.718268871307373,True,11,1280
P4_S8,25,12,307,3634.894366832292,0.007367849349975586,True,11,1299,3816.479913409913,0.18062162399291992,True,10,1299,3816.479913409914,60.014471769332886,True,10,1307,3816.479913409914,27.68494939804077,True,10,1307
P4_S9,25,12,308,3304.0424733249965,0.007976293563842773,True,11,1183,3789.042473324996,0.08295321464538574,True,11,1283,3558.395059013434,60.00730776786804,True,10,1247,3789.0424733249965,32.04979753494263,True,11,1307
P5_S1,30,15,400,3649.4784306601564,0.01704263687133789,True,13,1210,4448.337893247361,0.02857518196105957,True,15,1535,2903.944223520948,60.009557247161865,True,10,1043,4448.337893247362,38.57006645202637,True,15,1579
P5_S10,30,15,409,4981.183112958465,0.014370441436767578,True,13,1537,5286.35618434527,0.041136980056762695,True,14,1654,4034.5959149482374,60.007036447525024,True,11,1279,5286.356184345268,46.35000467300415,True,14,1661
P5_S2,30,15,401,3798.516953873162,0.01690673828125,True,14,1339,4104.6570343133535,0.031228065490722656,True,15,1439,2778.947074812241,60.01760673522949,True,11,993,4104.657034313354,42.08843731880188,True,15,1439
P5_S3,30,15,402,3360.6201682802375,0.016718626022338867,True,14,1211,3576.181249953059,0.027200698852539062,True,15,1301,2729.335173117758,60.02465605735779,True,11,997,3576.1812499530597,53.770941495895386,True,15,1301
P5_S4,30,15,403,4303.045979635213,0.011991024017333984,True,12,1475,4766.01046799138,0.3025856018066406,True,11,1475,4319.289573503484,60.00745964050293,True,11,1401,4729.447774359008,59.616294622421265,True,11,1497
P5_S5,30,15,404,4568.4614747619635,0.014857292175292969,True,15,1549,4608.4614747619635,0.028412342071533203,True,15,1557,3235.5592862416934,60.00702261924744,True,11,1054,4608.4614747619635,46.044265031814575,True,15,1557
P5_S6,30,15,405,4435.095346811269,0.01259756088256836,True,13,1435,5189.025710728481,0.038512468338012695,True,14,1631,3667.101922609606,60.00721597671509,True,11,1187,5189.025710728481,64.83942675590515,True,14,1638
P5_S7,30,15,406,4735.588357504765,0.013948917388916016,True,11,1638,5353.572826074595,0.43833184242248535,True,11,1790,4508.3087306691195,60.0218608379364,True,11,1585,5332.246233586406,47.75164556503296,True,12,1799
P5_S8,30,15,407,4398.315520172775,0.01045989990234375,True,13,1475,4952.409250376273,0.2625441551208496,True,13,1604,4223.81800045043,60.006340742111206,True,11,1349,4952.409250376275,40.65785217285156,True,13,1607
P5_S9,30,15,408,3578.1958279579476,0.015353202819824219,True,14,1143,3887.521309024508,0.029216766357421875,True,15,1220,2747.7661724076306,60.02251982688904,True,11,889,3887.521309024509,68.70465111732483,True,15,1220
